Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1078360,-,-,-,43.65,-79.42,-5,109,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.0.6
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,Solar Zenith Angle,Fill Flag,Surface Albedo,Wind Speed,Precipitable Water,Wind Direction,Relative Humidity,Temperature,Pressure,Global Horizontal UV Irradiance (280-400nm),Global Horizontal UV Irradiance (295-385nm),
2009,1,1,0,0,0,0,0,0,0,0,4,-11,158.88,0,0.866,5.7,0.215,327.90000000000003,77.17,-8,1010,0.0000,0.0000,N/A
2009,1,1,0,30,0,0,0,0,0,0,4,-11,159.25,0,0.866,5.4,0.215,327.90000000000003,77.2,-8,1010,0.0000,0.0000,N/A
2009,1,1,1,0,0,0,0,0,0,0,1,-11,157.84,0,0.866,5.1000000000000005,0.215,320.3,76.5,-8,1010,0.0000,0.0000,N/A
2009,1,1,1,30,0,0,0,0,0,0,4,-11,154.94,0,0.866,4.9,0.218,320.3,76.53,-8,1010,0.0000,0.0000,N/A
2009,1,1,2,0,0,0,0,0,0,0,4,-11,151.01,0,0.866,4.800000000000001,0.222,312.20000000000005,76.48,-8,1010,0.0000,0.0000,N/A
2009,1,1,2,30,0,0,0,0,0,0,4,-11,146.43,0,0.866,4.5,0.226,312.20000000000005,76.49,-8,1010,0.0000,0.0000,N/A
2009,1,1,3,0,0,0,0,0,0,0,4,-11,141.45000000000002,0,0.866,4.3,0.231,308,82.85000000000001,-9,1010,0.0000,0.0000,N/A
2009,1,1,3,30,0,0,0,0,0,0,4,-11,136.24,0,0.866,4.1000000000000005,0.23700000000000002,308,82.85000000000001,-9,1010,0.0000,0.0000,N/A
2009,1,1,4,0,0,0,0,0,0,0,4,-11,130.88,0,0.866,3.9000000000000004,0.243,306.3,82.72,-9,1010,0.0000,0.0000,N/A
2009,1,1,4,30,0,0,0,0,0,0,4,-11,125.47,0,0.866,3.7,0.257,306.3,82.72,-9,1010,0.0000,0.0000,N/A
2009,1,1,5,0,0,0,0,0,0,0,4,-11,120.05,0,0.866,3.5,0.271,303,82.17,-9,1010,0.0000,0.0000,N/A
2009,1,1,5,30,0,0,0,0,0,0,4,-11,114.66,0,0.866,3.3000000000000003,0.291,303,82.18,-9,1010,0.0000,0.0000,N/A
2009,1,1,6,0,0,0,0,0,0,0,4,-11,109.34,0,0.866,3.2,0.311,297.3,81.15,-9,1010,0.0000,0.0000,N/A
2009,1,1,6,30,0,0,0,0,0,0,4,-11,104.13,0,0.866,3,0.326,297.3,81.17,-9,1010,0.0000,0.0000,N/A
2009,1,1,7,0,0,0,0,0,0,0,7,-11,99.06,0,0.866,2.8000000000000003,0.342,290.5,79.75,-9,1010,0.0000,0.0000,N/A
2009,1,1,7,30,0,0,0,0,0,0,4,-11,94.17,0,0.866,2.5,0.34900000000000003,290.5,73.78,-8,1010,0.0000,0.0000,N/A
2009,1,1,8,0,0,0,0,0,0,0,7,-11,89.49,0,0.866,2.4000000000000004,0.356,282.2,73.81,-8,1010,0.0000,0.0000,N/A
2009,1,1,8,30,30,413,65,30,413,65,4,-11,85.10000000000001,4,0.866,2.1,0.361,282.2,68.33,-7,1010,0.0000,0.0000,N/A
2009,1,1,9,0,46,582,137,46,582,137,1,-12,81.02,0,0.866,1.9000000000000001,0.366,268,66.32000000000001,-7,1010,0.0000,0.0000,N/A
2009,1,1,9,30,58,686,208,58,686,208,1,-12,77.33,0,0.866,1.8,0.372,268,66.3,-6,1010,9.9909,7.6452,N/A
2009,1,1,10,0,69,742,273,69,742,273,1,-12,74.08,0,0.866,1.7000000000000002,0.379,234.20000000000002,66.23,-6,1010,13.4601,10.3607,N/A
2009,1,1,10,30,124,253,205,76,789,329,4,-12,71.34,0,0.866,1.9000000000000001,0.387,234.20000000000002,61.32,-6,1010,10.3675,8.0143,N/A
2009,1,1,11,0,87,609,304,85,805,372,7,-11,69.17,0,0.866,2.2,0.396,213.8,64.63,-6,1010,15.6776,12.1528,N/A
2009,1,1,11,30,84,663,336,89,824,403,7,-11,67.63,0,0.866,2.5,0.41000000000000003,213.8,59.88,-5,1010,17.5563,13.6322,N/A
2009,1,1,12,0,94,823,419,94,823,419,1,-10,66.77,0,0.866,2.8000000000000003,0.424,202.60000000000002,62.9,-5,1010,22.0466,17.1334,N/A
2009,1,1,12,30,134,441,310,95,823,422,4,-10,66.62,0,0.866,3,0.438,202.60000000000002,62.88,-5,1010,16.3308,12.6932,N/A
2009,1,1,13,0,95,623,337,105,773,405,7,-10,67.17,0,0.866,3.3000000000000003,0.452,192.5,65.37,-5,1010,17.6750,13.7307,N/A
2009,1,1,13,30,100,561,307,102,755,380,7,-10,68.42,0,0.866,3.5,0.461,192.5,60.6,-4,1010,15.9350,12.3629,N/A
2009,1,1,14,0,132,260,220,99,713,339,7,-10,70.32000000000001,0,0.866,3.7,0.47200000000000003,181.3,62.75,-4,1000,11.2303,8.6931,N/A
2009,1,1,14,30,120,99,149,91,668,288,7,-10,72.82000000000001,0,0.866,3.7,0.481,181.3,62.730000000000004,-4,1000,7.4325,5.7328,N/A
2009,1,1,15,0,96,109,123,83,582,226,7,-9,75.86,0,0.866,3.8000000000000003,0.491,172.3,64.33,-4,1000,5.9712,4.5817,N/A
2009,1,1,15,30,66,215,106,68,485,158,7,-9,79.36,0,0.866,3.8000000000000003,0.503,172.3,64.3,-4,1000,5.0526,3.8533,N/A
2009,1,1,16,0,46,105,59,48,339,87,7,-9,83.28,4,0.866,3.9000000000000004,0.516,161.9,66.02,-4,1000,0.0000,0.0000,N/A
2009,1,1,16,30,17,0,17,21,124,26,7,-9,87.54,4,0.866,4,0.529,161.9,65.99,-4,1000,0.0000,0.0000,N/A
2009,1,1,17,0,0,0,0,0,0,0,7,-8,92.10000000000001,0,0.866,4.1000000000000005,0.543,153.4,68.34,-4,1000,0.0000,0.0000,N/A
2009,1,1,17,30,0,0,0,0,0,0,7,-8,96.9,0,0.866,4.3,0.55,153.4,68.3,-4,1000,0.0000,0.0000,N/A
2009,1,1,18,0,0,0,0,0,0,0,7,-8,101.9,0,0.866,4.6000000000000005,0.557,148.3,70.63,-4,1000,0.0000,0.0000,N/A
2009,1,1,18,30,0,0,0,0,0,0,7,-8,107.05,0,0.866,5.1000000000000005,0.547,148.3,65.49,-3,1000,0.0000,0.0000,N/A
2009,1,1,19,0,0,0,0,0,0,0,7,-8,112.33,0,0.866,5.6000000000000005,0.537,146.1,68.28,-3,1000,0.0000,0.0000,N/A
2009,1,1,19,30,0,0,0,0,0,0,7,-8,117.69,0,0.866,5.800000000000001,0.516,146.1,68.21000000000001,-3,1000,0.0000,0.0000,N/A
2009,1,1,20,0,0,0,0,0,0,0,7,-7,123.10000000000001,0,0.866,6.1000000000000005,0.495,148.3,71.22,-3,1000,0.0000,0.0000,N/A
2009,1,1,20,30,0,0,0,0,0,0,7,-7,128.52,0,0.866,6,0.484,148.3,71.16,-3,1000,0.0000,0.0000,N/A
